step,loss_total,loss_per_pos,grad_norm_total,grad_norm_per_pos,grad_ratio_per_pos,handle_ratio,dd_per_pos,cos_per_pos
0,10.992015838623047,"[11.146015167236328, 10.983895301818848, 11.274105072021484, 10.982723236083984, 11.087715148925781, 10.888455390930176, 10.962800979614258, 10.61042308807373]",4.58684778213501,"[8.636334419250488, 8.162534713745117, 8.498106002807617, 7.9448442459106445, 7.764923572540283, 8.48653793334961, 10.01784896850586, 23.725587844848633]","[1.882847399664654, 1.7795521241269001, 1.8527115802504481, 1.7320924136297826, 1.6928670715394867, 1.8501895716712526, 2.1840378064263812, 5.172525658526483]","[0.7748360633850098, 0.7431366443634033, 0.7537720799446106, 0.7233947515487671, 0.7003177404403687, 0.7794069647789001, 0.91380375623703, 2.2360641956329346]","[14.292864799499512, 12.744356155395508, 13.932978630065918, 13.164752006530762, 12.760650634765625, 14.063350677490234, 17.32267951965332, 70.03168487548828]","[0.3608074586289374, 0.34039136196282216, 0.3574435781916193, 0.361254251502461, 0.3582789601801682, 0.36128000104055646, 0.37698690329622025, 0.6435218025280242]"
500,2.0135836601257324,"[2.3290178775787354, 2.3772130012512207, 2.381615400314331, 2.355264186859131, 2.3492746353149414, 2.399491548538208, 1.8811156749725342, 0.035676393657922745]",1.2381908893585205,"[3.9953489303588867, 2.310096263885498, 2.896017551422119, 2.8394598960876465, 4.075320243835449, 4.020461559295654, 3.830091714859009, 1.2601937055587769]","[3.226763308223653, 1.865702844157017, 2.3389104025167575, 2.2932327482709134, 3.2913505331530772, 3.2470450185419852, 3.093296637680233, 1.0177701325291253]","[1.7154651880264282, 0.9717666506767273, 1.2159887552261353, 1.205580234527588, 1.7347142696380615, 1.6755472421646118, 2.03607439994812, 35.3228874206543]","[3.3121068477630615, 1.9734307527542114, 2.329058885574341, 0.8955015540122986, 0.6765021085739136, 3.1746835708618164, -0.24727347493171692, 0.15092110633850098]","[0.6695176344451413, 0.6899286976375686, 0.6495187239919548, 0.25470824327330954, 0.13406635706279194, 0.6377301157297499, -0.052141167852878006, 0.09672195585003929]"
1000,1.8107514381408691,"[2.2105636596679688, 2.3202950954437256, 2.3165841102600098, 2.310947895050049, 2.373889684677124, 2.2252418994903564, 0.727436900138855, 0.0010519446805119514]",1.867854118347168,"[3.953744888305664, 4.077444076538086, 3.8632864952087402, 4.715389251708984, 4.269527435302734, 3.1967074871063232, 10.775035858154297, 0.07144142687320709]","[2.116731092364036, 2.1829563864153085, 2.06830204632217, 2.524495465353339, 2.2857927679495473, 1.711433165848645, 5.7686709857667795, 0.038247862170534164]","[1.7885686159133911, 1.7572954893112183, 1.6676651239395142, 2.040456771850586, 1.7985365390777588, 1.4365662336349487, 14.812331199645996, 67.91302490234375]","[2.006986618041992, 3.154557704925537, 1.8936967849731445, 3.693004846572876, 3.632033109664917, 1.2118364572525024, 12.29138469696045, 0.027536004781723022]","[0.2717645962780331, 0.41419753370947127, 0.2624282423051749, 0.41929470120305207, 0.4554356638917943, 0.20295425519388088, 0.6107157678866603, 0.20635160641095485]"
1500,1.758948802947998,"[2.2174923419952393, 2.3089981079101562, 2.332732677459717, 2.323852300643921, 2.3014791011810303, 2.2376391887664795, 0.3490040898323059, 0.00039364496478810906]",1.6258349418640137,"[4.130033493041992, 4.1717209815979, 4.753170013427734, 3.3123974800109863, 3.4986400604248047, 4.673900604248047, 4.582488059997559, 0.012787842191755772]","[2.540253863843598, 2.5658945285153227, 2.9235255627968253, 2.037351636823191, 2.1519035975531606, 2.8747694393192442, 2.8185444549148104, 0.007865400024614158]","[1.8624792098999023, 1.8067234754562378, 2.037597417831421, 1.4253907203674316, 1.5201703310012817, 2.088764190673828, 13.130184173583984, 32.484901428222656]","[3.5133533477783203, 3.6967902183532715, 4.359708309173584, 2.946779727935791, 2.3680567741394043, 1.9002745151519775, 2.3609824180603027, 0.0007670042687095702]","[0.5232289960972318, 0.5450459283319303, 0.5641539479633776, 0.5471781854976293, 0.4163095683710924, 0.2500693231326722, 0.3168946869544522, 0.03689130851954715]"
2000,1.6976723670959473,"[2.1784088611602783, 2.281742572784424, 2.2792084217071533, 2.319070816040039, 2.2117085456848145, 2.0953311920166016, 0.21561743319034576, 0.00029177687247283757]",3.038627862930298,"[9.11666488647461, 4.923885822296143, 3.227414131164551, 3.3678934574127197, 3.8453385829925537, 2.926095724105835, 19.362653732299805, 0.013332388363778591]","[3.0002571218717655, 1.6204306826660235, 1.0621287886342874, 1.1083599602634113, 1.265485198073681, 0.9629661334323636, 6.372170139198108, 0.00438763447358161]","[4.18501091003418, 2.157949686050415, 1.416024088859558, 1.45225989818573, 1.7386280298233032, 1.3964836597442627, 89.80095672607422, 45.69221496582031]","[13.740968704223633, 3.2176907062530518, 3.0618789196014404, 3.0779223442077637, 1.5903226137161255, 0.42957279086112976, 48.72853088378906, 0.019193116575479507]","[0.49602531721973336, 0.21505958657188382, 0.31221646392092633, 0.3007611926744631, 0.13610470328368393, 0.048313746920297364, 0.8282108645114223, 0.4737617883642531]"
2500,1.6951842308044434,"[2.100140333175659, 2.302361011505127, 2.3006057739257812, 2.299621343612671, 2.3563458919525146, 2.0950000286102295, 0.1072550117969513, 0.00014451303286477923]",3.6829850673675537,"[9.672789573669434, 10.549639701843262, 3.2492363452911377, 5.199488162994385, 4.878564357757568, 14.470705032348633, 6.012059688568115, 0.0045575895346701145]","[2.6263450426051134, 2.8644264119658, 0.882229030489542, 1.4117592300505213, 1.3246223561923278, 3.929069699620503, 1.6323877448857778, 0.0012374716300241999]","[4.605782508850098, 4.582096099853516, 1.412339448928833, 2.261019229888916, 2.0703940391540527, 6.907257556915283, 56.05387878417969, 31.53538703918457]","[21.44411849975586, 19.665611267089844, 2.5286364555358887, 5.750730037689209, 6.895936012268066, 40.34403610229492, 11.884381294250488, 0.0015847113681957126]","[0.601944568994591, 0.5061390720942192, 0.21130274277653888, 0.3003049070293312, 0.38379669134550987, 0.7569892196519529, 0.5367268670686763, 0.09440934970387675]"
3000,1.6351921558380127,"[1.9168798923492432, 2.232138156890869, 2.349151611328125, 2.3112735748291016, 2.281557559967041, 1.9366259574890137, 0.053712960332632065, 0.00019779200374614447]",4.520158767700195,"[9.926863670349121, 5.764975070953369, 7.76069450378418, 3.9286327362060547, 5.775974273681641, 21.577085494995117, 9.041620254516602, 0.02719896100461483]","[2.196131636190247, 1.275392163688649, 1.7169075031700118, 0.869136005637452, 1.277825530146232, 4.7735238083181954, 2.000288202070582, 0.006017257889030599]","[5.178657054901123, 2.582714319229126, 3.3036158084869385, 1.6997696161270142, 2.531592607498169, 11.141586303710938, 168.3321533203125, 137.50599670410156]","[20.146652221679688, 10.92569351196289, 17.992063522338867, 6.36936616897583, 8.667095184326172, 78.29802703857422, 21.00797462463379, 0.04781203716993332]","[0.44899049021977894, 0.4192739600973065, 0.5128929132585092, 0.35867499111048234, 0.33196678046029915, 0.802794423433809, 0.5140249883746064, 0.3888940017370891]"
3500,1.6642569303512573,"[1.9782004356384277, 2.247067451477051, 2.315983295440674, 2.287078619003296, 2.2846713066101074, 1.9547779560089111, 0.2462235987186432, 5.3078620112501085e-05]",9.027399063110352,"[13.677874565124512, 5.815669536590576, 4.500687599182129, 3.8371193408966064, 7.914406776428223, 26.42975425720215, 52.97911071777344, 0.0019499636255204678]","[1.5151512046274664, 0.6442242661405967, 0.49855861779433025, 0.42505258868821333, 0.8767095285251905, 2.927726366413217, 5.868701532678196, 0.00021600503222338064]","[6.914301872253418, 2.5881152153015137, 1.943316102027893, 1.6777383089065552, 3.4641337394714355, 13.520591735839844, 215.16665649414062, 36.730350494384766]","[41.30340576171875, -1.0211176872253418, 2.5183498859405518, 5.123039722442627, 0.12934646010398865, 171.34657287597656, 432.5561828613281, -0.004348039161413908]","[0.33450653445663603, -0.019449723736328143, 0.06198328059626663, 0.14789713985446304, 0.0018103958212652223, 0.7181574269592479, 0.9044305398994404, -0.24700417592937618]"
4000,1.5845673084259033,"[1.8389406204223633, 2.2226524353027344, 2.3048081398010254, 2.3406386375427246, 2.22143292427063, 1.721434473991394, 0.02644510567188263, 0.00018624146468937397]",4.799368381500244,"[13.813461303710938, 6.642385005950928, 7.105957508087158, 8.716014862060547, 11.231216430664062, 20.380287170410156, 0.9565565586090088, 0.02470233291387558]","[2.8781831703014555, 1.3840123278627283, 1.4806026425222838, 1.8160754018502723, 2.3401446894462548, 4.246451939169429, 0.19930884286694345, 0.005146996635868537]","[7.511641025543213, 2.988494634628296, 3.083101511001587, 3.723776340484619, 5.055842876434326, 11.839130401611328, 36.171390533447266, 132.62893676757812]","[38.21829605102539, 13.738457679748535, 15.091609954833984, 18.244966506958008, 30.35186767578125, 67.75439453125, 0.8792485594749451, -0.007351115811616182]","[0.576480629271622, 0.43095294180102006, 0.44251590014179215, 0.4361551675164622, 0.5630857512500607, 0.6926966438634421, 0.19152123151005257, -0.06200564198064231]"
4500,1.6023911237716675,"[1.8685312271118164, 2.273308038711548, 2.3118886947631836, 2.335592746734619, 2.1704723834991455, 1.8353312015533447, 0.023983705788850784, 2.1898711565881968e-05]",3.798954963684082,"[8.93337631225586, 5.974539279937744, 5.3141632080078125, 8.902546882629395, 5.352452754974365, 19.026859283447266, 6.799467086791992, 0.0008627455681562424]","[2.3515351978778423, 1.5726796808730428, 1.3988486988680537, 2.343419958312968, 1.4089276672508273, 5.008445602891733, 1.7898256630550122, 0.0002271007622895283]","[4.780961990356445, 2.6281256675720215, 2.298624038696289, 3.8116862773895264, 2.466031312942505, 10.366989135742188, 283.50347900390625, 39.37910842895508]","[10.482583999633789, 4.926242828369141, 3.4080729484558105, 16.010976791381836, 7.94187068939209, 58.910858154296875, 13.775991439819336, -0.00012471100490074605]","[0.3088791385699346, 0.2170437327121532, 0.1688145396346017, 0.4734121649446187, 0.390576243325708, 0.8150121775099948, 0.5333150546326462, -0.03805028347497055]"
