step,loss_total,loss_per_pos,grad_norm_total,grad_norm_per_pos,grad_ratio_per_pos,handle_ratio,dd_per_pos,cos_per_pos
0,10.940139770507812,"[11.170259475708008, 10.962236404418945, 11.253914833068848, 10.988626480102539, 10.951227188110352, 10.742074966430664, 10.865180015563965, 10.58759880065918]",4.604424953460693,"[8.432527542114258, 7.999790191650391, 7.922795295715332, 7.849010467529297, 8.012797355651855, 8.369060516357422, 10.440179824829102, 23.96817398071289]","[1.8313964560930365, 1.7374135255777674, 1.7206915903278097, 1.7046668252525146, 1.7402384524976184, 1.8176125359730801, 2.267423170179426, 5.2054652259449625]","[0.7549088001251221, 0.7297589778900146, 0.7040035128593445, 0.7142849564552307, 0.7316802740097046, 0.7790915966033936, 0.9608842134475708, 2.2637970447540283]","[13.587709426879883, 12.537115097045898, 13.16276741027832, 12.280878067016602, 13.93774127960205, 14.553633689880371, 18.091392517089844, 71.45452880859375]","[0.34995570973172, 0.34036399852641963, 0.36082230233509066, 0.33981231370971854, 0.3777746746377101, 0.37767595195454234, 0.37634713850464896, 0.647469644857235]"
500,1.7274694442749023,"[2.1649889945983887, 2.3156816959381104, 2.3075451850891113, 2.3156888484954834, 2.3181228637695312, 2.302262544631958, 0.09513784945011139, 0.00032741023460403085]",1.8627381324768066,"[4.1118245124816895, 4.926769256591797, 3.933722972869873, 2.9460623264312744, 2.5030429363250732, 4.185263633728027, 8.129109382629395, 0.009248585440218449]","[2.207408782153595, 2.6449070702390536, 2.1117960191427243, 1.5815762157153115, 1.3437438643062938, 2.246834142039629, 4.364064513899466, 0.004965048644771653]","[1.8992358446121216, 2.1275675296783447, 1.7047219276428223, 1.2722184658050537, 1.0797715187072754, 1.8178914785385132, 85.4455795288086, 28.246835708618164]","[5.684115409851074, 5.592813491821289, 1.614933967590332, 2.967160940170288, -0.1564933955669403, 3.441129446029663, 8.614540100097656, 0.0001459214836359024]","[0.7421240582279358, 0.6094194471824539, 0.22039370818613419, 0.5406887926290704, -0.03356416978465653, 0.44139395888862176, 0.5689018217172159, 0.00847016983503655]"
1000,1.7278735637664795,"[2.139017105102539, 2.353693962097168, 2.354198455810547, 2.333315372467041, 2.2903523445129395, 2.309462308883667, 0.042821675539016724, 0.00012684905959758908]",1.9835023880004883,"[4.319501876831055, 4.529136657714844, 4.511106967926025, 3.8833305835723877, 2.856372833251953, 3.2011544704437256, 1.8393714427947998, 0.0036479949485510588]","[2.1777144827062296, 2.2834036828564326, 2.2743138577582167, 1.9578149273049585, 1.4400652353796157, 1.6138898999111957, 0.9273351289730573, 0.0018391684177544638]","[2.0193862915039062, 1.9242675304412842, 1.916196584701538, 1.664297342300415, 1.247132420539856, 1.3861037492752075, 42.95420455932617, 28.756284713745117]","[6.564743995666504, 7.578911781311035, 6.702597141265869, 3.751067638397217, 2.6705992221832275, 3.757892608642578, 0.4483940601348877, 4.5148772187530994e-05]","[0.7662163234200285, 0.8436429844592697, 0.7490783824878493, 0.48698748951029625, 0.4713690860260863, 0.5918409428541563, 0.12290164155565458, 0.006239632166831101]"
1500,1.7057936191558838,"[2.048030376434326, 2.3094277381896973, 2.3337841033935547, 2.304060459136963, 2.299982786178589, 2.3182454109191895, 0.03275269269943237, 6.596067396458238e-05]",1.283182978630066,"[2.9483625888824463, 4.144077301025391, 3.6155178546905518, 4.593945026397705, 2.2176952362060547, 3.137876510620117, 3.1097495555877686, 0.0021883861627429724]","[2.2976945907045434, 3.229529513748408, 2.8176167506137753, 3.5801168679015904, 1.7282766940796548, 2.4453850798193515, 2.4234654039034687, 0.0017054357789871146]","[1.4396088123321533, 1.7944175004959106, 1.5492082834243774, 1.993847370147705, 0.9642225503921509, 1.3535566329956055, 94.94634246826172, 33.1721076965332]","[1.4920934438705444, 1.1187680959701538, 1.9934651851654053, 3.7168021202087402, 0.9088747501373291, 2.5615015029907227, 1.3809651136398315, -3.3313654057565145e-06]","[0.394390586225877, 0.2103892934370449, 0.4296843684251584, 0.6305144676111665, 0.31938431538742873, 0.636165593277585, 0.3460737850689476, -0.0011863414958169245]"
2000,1.689936637878418,"[1.9451757669448853, 2.3117918968200684, 2.3116655349731445, 2.321326971054077, 2.3195409774780273, 2.304867744445801, 0.005080274306237698, 4.384852582006715e-05]",1.6204560995101929,"[2.7373857498168945, 4.626165390014648, 4.387662410736084, 3.7299253940582275, 4.770419120788574, 2.871873617172241, 0.18962910771369934, 0.0014937311643734574]","[1.6892686883923054, 2.854853884294043, 2.707671261234612, 2.301775034316359, 2.943874334041203, 1.7722625241376844, 0.11702205803108, 0.0009217967489677506]","[1.4072691202163696, 2.0011167526245117, 1.8980523347854614, 1.6068073511123657, 2.05662202835083, 1.2460036277770996, 37.32647705078125, 34.05794143676758]","[2.1354475021362305, 2.7890231609344482, 4.121407985687256, 4.722471237182617, 5.0740275382995605, 2.165358781814575, -0.0006833877414464951, -3.1607007258571684e-05]","[0.4814105763072411, 0.3720434780828964, 0.5796624032630606, 0.7813253343557166, 0.6563855519444404, 0.4652938065995598, -0.0022239494563378176, -0.01305790980106693]"
2500,1.6941649913787842,"[1.949021816253662, 2.3043570518493652, 2.3178207874298096, 2.3252577781677246, 2.268941879272461, 2.329563617706299, 0.05833075940608978, 2.612470962048974e-05]",1.7397023439407349,"[2.3864552974700928, 3.1378087997436523, 3.1780519485473633, 4.7887115478515625, 4.675271511077881, 3.791361093521118, 9.147501945495605, 0.0009386299061588943]","[1.3717606956051733, 1.8036469345876478, 1.8267791381763108, 2.752603952354447, 2.687397374247114, 2.17931596558812, 5.258084509316053, 0.0005395347712372053]","[1.2244374752044678, 1.3616851568222046, 1.3711378574371338, 2.0594325065612793, 2.060551643371582, 1.6274983882904053, 156.8212127685547, 35.91506576538086]","[0.3521216809749603, 1.3210725784301758, 2.5940403938293457, 3.5688729286193848, 2.3885579109191895, 3.561795949935913, 10.42607307434082, -2.1485204342752695e-05]","[0.08481340793061552, 0.24200550923068148, 0.46918140776684625, 0.4283881595631263, 0.2936662175957174, 0.5400064386234578, 0.6551538618754503, -0.013157402261260762]"
3000,1.6655348539352417,"[1.779421329498291, 2.319611072540283, 2.3225631713867188, 2.3131394386291504, 2.3039541244506836, 2.2840969562530518, 0.0014760701451450586, 1.6576730558881536e-05]",1.113628625869751,"[2.7239203453063965, 1.720524787902832, 3.1959259510040283, 4.875932693481445, 3.185235023498535, 3.688704490661621, 0.020472144708037376, 0.0006509922095574439]","[2.4459862848613447, 1.5449717688058633, 2.8698309982001318, 4.3784189632098505, 2.860230914961302, 3.3123290879674716, 0.018383278080741236, 0.0005845684947699821]","[1.5307899713516235, 0.7417298555374146, 1.3760340213775635, 2.107928514480591, 1.3825080394744873, 1.6149510145187378, 13.869263648986816, 39.24776840209961]","[1.2583012580871582, 0.7533460259437561, 2.2290706634521484, 3.41196346282959, 0.11994345486164093, 2.15385103225708, -0.00513172522187233, 6.348255737975705e-06]","[0.41481059580922297, 0.39318159642030265, 0.6263062447947636, 0.6283567486417879, 0.03381385498282236, 0.5243260223133054, -0.22509179545491698, 0.008756654941236192]"
3500,1.6941821575164795,"[1.8474164009094238, 2.315646171569824, 2.3115899562835693, 2.3048555850982666, 2.286619186401367, 2.323741912841797, 0.16358110308647156, 6.785575351386797e-06]",1.5614056587219238,"[4.298663139343262, 4.774584770202637, 2.358593463897705, 3.480361223220825, 3.621013641357422, 3.790604829788208, 6.092679023742676, 0.00022505602100864053]","[2.7530726018130984, 3.057875923231145, 1.510557778962011, 2.2289923209767584, 2.319072959119012, 2.4276873909186274, 3.9020474850397235, 0.0001441368037521129]","[2.3268511295318604, 2.061880111694336, 1.0203338861465454, 1.5100126266479492, 1.5835665464401245, 1.631250262260437, 37.24561309814453, 33.11802291870117]","[3.044436454772949, 3.937464714050293, 1.2870985269546509, 1.4909958839416504, 1.5669898986816406, 3.2429678440093994, 4.933949947357178, -8.240359647970763e-07]","[0.4535840258109733, 0.5281597695190772, 0.34949659874907635, 0.2743698427100568, 0.2771534486802651, 0.5479215500526298, 0.5186455922850474, -0.0023449834475291506]"
4000,1.6803447008132935,"[1.7852250337600708, 2.3055806159973145, 2.285053253173828, 2.3308963775634766, 2.31239652633667, 2.309023380279541, 0.11457335203886032, 9.823421351029538e-06]",1.4487619400024414,"[4.157053470611572, 3.127103328704834, 2.038449287414551, 4.4697346687316895, 3.587446689605713, 3.7982287406921387, 4.371331214904785, 0.00041023475932888687]","[2.8693834064998747, 2.158465957974824, 1.4070284641872326, 3.0852098921953717, 2.476215443373442, 2.62170660052385, 3.0172874467543087, 0.00028316229740836204]","[2.3285880088806152, 1.3563191890716553, 0.8920795917510986, 1.9176033735275269, 1.551397681236267, 1.644950270652771, 38.15311813354492, 41.71841812133789]","[3.792435646057129, 1.9629347324371338, 0.5463899970054626, 3.4217026233673096, 2.1166956424713135, 2.441166877746582, 2.5099544525146484, 1.0561208910075948e-05]","[0.6297027370861754, 0.43327796157828047, 0.18501451439793495, 0.5284008299851218, 0.40726391468210527, 0.44362838361598883, 0.39632831251462286, 0.01776986587025777]"
4500,1.6642796993255615,"[1.734370231628418, 2.3106651306152344, 2.328580617904663, 2.315425395965576, 2.311082363128662, 2.3058433532714844, 0.00826342310756445, 7.0929158937360626e-06]",0.9324016571044922,"[2.963066577911377, 4.682286739349365, 3.223440408706665, 3.3723390102386475, 3.3234968185424805, 2.5387954711914062, 0.5572977066040039, 0.00021272996673360467]","[3.177886434814983, 5.021748624825355, 3.457137151296827, 3.616830777318875, 3.5644475674393012, 2.7228560265277273, 0.5977013257726855, 0.00022815271199133497]","[1.7084394693374634, 2.0263805389404297, 1.3842941522598267, 1.4564663171768188, 1.4380693435668945, 1.1010268926620483, 67.44142150878906, 29.94966697692871]","[0.1578478366136551, 2.277430534362793, 1.3065052032470703, 1.7081658840179443, 0.7903921604156494, 0.6815661787986755, 0.03307559713721275, 2.1566154373431345e-07]","[0.057133941724131956, 0.521655867233524, 0.4346988198083669, 0.5432450536942047, 0.25506115379742067, 0.28792361058882987, 0.06365278366961344, 0.0010872790017896056]"
